servertime,sensortype,deviceid,clienttime,x,y,z
1507663383064,accelerometer,7f43a7eaf750aac,1507663350471,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663351270,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663352068,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663352868,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663353667,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663354466,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663355264,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663356064,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663356863,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663357662,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663358461,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663359260,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663360059,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663360858,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663361657,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663362456,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663363255,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663364054,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663364853,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663365653,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663366451,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663367250,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663368049,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663368848,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663369650,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663370446,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663371246,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663372044,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663372843,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663373642,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663374443,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663375240,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663376039,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663376839,9.77631,2.23517e-7,0.812348
